Date,Venue,City,Extras,Notes
"Tuesday, November 30, 1976",Municipal Auditorium,"Columbus, Georgia",,Opening for KISS
"Sunday, December 12, 1976",Paul's Mall,"Boston, Massachusetts",,Opening for Al Kooper
"Tuesday, December 14, 1976",CBGB's ,"New York City, New York",,
"Wednesday, December 15, 1976",CBGB's,"New York City, New York",,
"Wednesday, February 9, 1977",Whisky a Go-Go ,"West Hollywood, California",,Opening for Blondie
"Thursday, February 10, 1977",Whisky a Go-Go,"West Hollywood, California",,Opening for Blondie
"Friday, February 11, 1977",Whisky a Go-Go ,"West Hollywood, California",,Opening for Blondie
"Saturday, February 12, 1977",Whisky a Go-Go ,"West Hollywood, California",,Opening for Blondie
"Monday, February 14, 1977",Keystone Palo Alto ,"Palo Alto, California",,With the Greg Kihn Band
"Tuesday, February 15, 1977",Keystone Palo Alto ,"Palo Alto, California",,With the Greg Kihn Band
"Thurday, February 17, 1977",Keystone Berkeley,"Berkeley, California",,With the Greg Kihn Band
"Friday, February 18, 1977",Keystone Berkeley,"Berkeley, California",,With the Greg Kihn Band
"Saturday, February 19, 1977",Keystone Berkeley,"Berkeley, California",,With the Greg Kihn Band
"Friday, February 25, 1977",Ivanhoe Theater,"Chicago, Illinois",Setlist,
"Monday, February 28, 1977",Agora Ballroom,"Cleveland, Ohio",,Cancelled
"Saturday, March 5, 1977",Royal Oak Music Theatre,"Royal Oak, Michigan",Setlist,Opening for the Runaways w/Cheap Trick
"Monday, March 7, 1977",Bottom Line,"New York City, New York",,Opening for Roger McGuinn
"Tueday, March 8, 1977",Bottom Line,"New York City, New York",,Opening for Roger McGuinn
"Wednesday, March 9, 1977",Bottom Line,"New York City, New York",,Opening for Roger McGuinn
"Thursday, March 10, 1977",Agora Ballroom,"Cleveland, Ohio",,Opening for the Runaways
"Sunday, March 13, 1977",Bogart's,"Cincinnati, Ohio",,
"Monday, March 14, 1977",The Flying Machine,"Akron, Ohio",,
"Thursday, March 17, 1977","University Center, Adelphi University","Garden City, Long Island, New York",Review,
"Saturday, April 23, 1977",Record Plant,"Sausalito, California",Setlist,KSAN Radio Broadcast
"Sunday, April 24, 1977",Winterland ,"San Francisco, California",,Opening for Bob Seger and the Silver Bullet Band with Starz
"Tuesday, April 26, 1977",Whisky a Go-Go,"West Hollywood, California",,
"Wednesday, April 27, 1977",Whisky a Go-Go,"West Hollywood, California",,
"Sunday, May 8, 1977",Capitol Theater,"Cardiff, Wales",,Opening for Nils Lofgren
"Monday, May 9, 1977",Lancaster University,"Lancaster, England",,Opening for Nils Lofgren
"Tuesday, May 10, 1977",BBC Studios,"London, England",,Old Grey Whistle Test
"Wednesday, May 11, 1977",Birmingham Odeon,"Birmingham, England",,Opening for Nils Lofgren
"Thursday, May 12, 1977",Brighton Dome,"Brighton, England",,Opening for Nils Lofgren
"Saturday, May 14, 1977",Hammersmith Odeon,"London, England",,Opening for Nils Lofgren
"Sunday, May 15, 1977",Hammersmith Odeon,"London, England",,Opening for Nils Lofgren
"Monday, May 16, 1977",Hammersmith Odeon,"London, England",,Opening for Nils Lofgren
"Tuesday, May 17, 1977",Bristol Hippodrome,"Bristol, England",,Opening for Nils Lofgren
"Thursday, May 19, 1977",Manchester Apollo,"Manchester, England",,Opening for Nils Lofgren
"Friday, May 20, 1977",Sheffield City Hall,"Sheffield, England",,Opening for Nils Lofgren
"Saturday, May 21, 1977",Leeds University,"Leeds, England",,Opening for Nils Lofgren
"Sunday, May 22, 1977",Trentham Gardens,"Stoke on Trent, England",,Opening for Nils Lofgren
"Monday, May 23, 1977",Empire Theatre,"Liverpool, England",,Opening for Nils Lofgren
"Tuesday, May 24, 1977",Newcastle City Hall,"Newcastle upon Tyne, England",,Opening for Nils Lofgren
