ï..Date,Venue,City,Extras,Notes,latitude,longitude
"Tuesday, November 30, 1976",Municipal Auditorium,"Columbus, Georgia",,Opening for KISS,32.4610708,-84.9880449
"Sunday, December 12, 1976",Paul's Mall,"Boston, Massachusetts",,Opening for Al Kooper,42.3602534,-71.0582912
"Tuesday, December 14, 1976",CBGB'sÂ ,"New York City, New York",,,40.7587979,-73.9623427
"Wednesday, December 15, 1976",CBGB's,"New York City, New York",,,40.7587979,-73.9623427
"Wednesday, February 9, 1977",Whisky a Go-GoÂ ,"West Hollywood, California",,Opening for Blondie,34.0923014,-118.3692894
"Thursday, February 10, 1977",Whisky a Go-Go,"West Hollywood, California",,Opening for Blondie,34.0923014,-118.3692894
"Friday, February 11, 1977",Whisky a Go-GoÂ ,"West Hollywood, California",,Opening for Blondie,34.0923014,-118.3692894
"Saturday, February 12, 1977",Whisky a Go-GoÂ ,"West Hollywood, California",,Opening for Blondie,34.0923014,-118.3692894
"Monday, February 14, 1977",Keystone Palo AltoÂ ,"Palo Alto, California",,With the Greg Kihn Band,37.4443293,-122.1598465
"Tuesday, February 15, 1977",Keystone Palo AltoÂ ,"Palo Alto, California",,With the Greg Kihn Band,37.4443293,-122.1598465
"Thurday, February 17, 1977",Keystone Berkeley,"Berkeley, California",,With the Greg Kihn Band,37.8753497,-122.23963364918777
"Friday, February 18, 1977",Keystone Berkeley,"Berkeley, California",,With the Greg Kihn Band,37.8753497,-122.23963364918777
"Saturday, February 19, 1977",Keystone Berkeley,"Berkeley, California",,With the Greg Kihn Band,37.8753497,-122.23963364918777
"Friday, February 25, 1977",Ivanhoe Theater,"Chicago, Illinois",Setlist,,41.8755616,-87.6244212
"Monday, February 28, 1977",Agora Ballroom,"Cleveland, Ohio",,Cancelled,41.5051613,-81.6934446
"Saturday, March 5, 1977",Royal Oak Music Theatre,"Royal Oak, Michigan",Setlist,Opening for the Runaways w/Cheap Trick,42.4894801,-83.1446485
"Monday, March 7, 1977",Bottom Line,"New York City, New York",,Opening for Roger McGuinn,40.7587979,-73.9623427
"Tueday, March 8, 1977",Bottom Line,"New York City, New York",,Opening for Roger McGuinn,40.7587979,-73.9623427
"Wednesday, March 9, 1977",Bottom Line,"New York City, New York",,Opening for Roger McGuinn,40.7587979,-73.9623427
"Thursday, March 10, 1977",Agora Ballroom,"Cleveland, Ohio",,Opening for the Runaways,41.5051613,-81.6934446
"Sunday, March 13, 1977",Bogart's,"Cincinnati, Ohio",,,39.1014537,-84.5124602
"Monday, March 14, 1977",The Flying Machine,"Akron, Ohio",,,41.083064,-81.518485
"Thursday, March 17, 1977","University Center, Adelphi University","Garden City, Long Island, New York",Review,,40.7495506,-73.9517639894174
"Saturday, April 23, 1977",Record Plant,"Sausalito, California",Setlist,KSAN Radio Broadcast,37.8590272,-122.485469
"Sunday, April 24, 1977",WinterlandÂ ,"San Francisco, California",,Opening for Bob Seger and the Silver Bullet Band with Starz,37.7790262,-122.419906
"Tuesday, April 26, 1977",Whisky a Go-Go,"West Hollywood, California",,,34.0923014,-118.3692894
"Wednesday, April 27, 1977",Whisky a Go-Go,"West Hollywood, California",,,34.0923014,-118.3692894
"Sunday, May 8, 1977",Capitol Theater,"Cardiff, Wales",,Opening for Nils Lofgren,51.4816546,-3.1791934
"Monday, May 9, 1977",Lancaster University,"Lancaster, England",,Opening for Nils Lofgren,54.0484068,-2.7990345
"Tuesday, May 10, 1977",BBC Studios,"London, England",,Old Grey Whistle Test,51.5073219,-0.1276474
"Wednesday, May 11, 1977",Birmingham Odeon,"Birmingham, England",,Opening for Nils Lofgren,52.4796992,-1.9026911
"Thursday, May 12, 1977",Brighton Dome,"Brighton, England",,Opening for Nils Lofgren,50.8214626,-0.1400561
"Saturday, May 14, 1977",Hammersmith Odeon,"London, England",,Opening for Nils Lofgren,51.5073219,-0.1276474
"Sunday, May 15, 1977",Hammersmith Odeon,"London, England",,Opening for Nils Lofgren,51.5073219,-0.1276474
"Monday, May 16, 1977",Hammersmith Odeon,"London, England",,Opening for Nils Lofgren,51.5073219,-0.1276474
"Tuesday, May 17, 1977",Bristol Hippodrome,"Bristol, England",,Opening for Nils Lofgren,51.4538022,-2.5972985
"Thursday, May 19, 1977",Manchester Apollo,"Manchester, England",,Opening for Nils Lofgren,53.4794892,-2.2451148
"Friday, May 20, 1977",Sheffield City Hall,"Sheffield, England",,Opening for Nils Lofgren,53.3806626,-1.4702278
"Saturday, May 21, 1977",Leeds University,"Leeds, England",,Opening for Nils Lofgren,53.7974185,-1.5437941
"Sunday, May 22, 1977",Trentham Gardens,"Stoke on Trent, England",,Opening for Nils Lofgren,53.0162014,-2.1812607
"Monday, May 23, 1977",Empire Theatre,"Liverpool, England",,Opening for Nils Lofgren,53.4071991,-2.99168
"Tuesday, May 24, 1977",Newcastle City Hall,"Newcastle upon Tyne, England",,Opening for Nils Lofgren,54.9738474,-1.6131572
"Wednesday, May 25, 1977",Playhouse,"Edinburgh, Scotland",,Opening for Nils Lofgren,55.9533456,-3.1883749
"Thursday, May 26, 1977",Glasgow Apollo,"Glasgow, Scotland",,Opening for Nils Lofgren,55.8609825,-4.2488787
"Monday, May 30, 1977",Pinkpop Festival,"Geleen, Netherlands",,,50.9673322,5.8277007
,Burgemeester Damen Sportpark,,,,NA,NA
"Tuesday, May 31, 1977",Cirque Royal,"Brussels, Belgium",Setlist,,50.8465573,4.351697
"Wednesday, June 1, 1977",Pavillion de Paris,"Paris, France",Setlist,Opening for the Kinks with Nils Lofgren,48.8588897,2.3200410217200766
"Thursday, June 2, 1977",Schauspiel Frankfurt,"Frankfurt, Germany",,Opening for Nils Lofgren,50.1106444,8.6820917
"Saturday, June 4, 1977",Paradiso,"Amsterdam, Netherlands",,,52.3727598,4.8936041
"Monday, June 6, 1977",Olympen,"Lund, Sweden",,,55.7029296,13.1929449
"Sunday, June 12, 1977",Manchester Free Trade Hall,"Manchester, England",,,53.4794892,-2.2451148
"Tuesday, June 14, 1977",WDR Studio,"Cologne, Germany",,Taping ofÂ Rockpalast,50.938361,6.959974
"Thursday, June 16, 1977",Top of the PopsÂ broadcast,--,,,NA,NA
"Thursday, June 16, 1977",Birmingham Town Hall,"Birmingham, England",,With the Boomtown Rats,52.4796992,-1.9026911
"Friday, June 17, 1977",Cardiff University,"Cardiff, Wales",,With the Boomtown Rats,51.4816546,-3.1791934
"Saturday, June 18, 1977",Aylesbury Friars Club,"Aylesbury, England",,With the Boomtown Rats,51.8161412,-0.8130383
"Sunday, June 19, 1977",Rainbow Theatre,"London, England",,With the Boomtown Rats,51.5073219,-0.1276474
"Monday, June 20, 1977",Club Lafayette,"Wolverhampton, England",,With the Boomtown Rats,52.5847651,-2.127567
"Tuesday, June 21, 1977",TV Special,"--, Belgium",,,50.6402809,4.6667145
"Friday, June 24, 1977",Exeter University,"Exeter, england",,,50.7255794,-3.5269497
"Saturday, June 25, 1977",Hull University,"Kingston Upon Hull, England",,,53.7435722,-0.3394758
"Friday, August 5, 1977",Paramount Theatre,"Portland, Oregon",,With the Ramones and Mink DeVille,45.5202471,-122.6741949
"Wednesday, August 10, 1977",Old Waldorf,"San Francisco, California",,,37.7790262,-122.419906
"Thursday, August 11, 1977",Old Waldorf,"San Francisco, California",,,37.7790262,-122.419906
"Friday, August 12, 1977",Whisky a Go-Go,"West Hollywood, California",,,34.0923014,-118.3692894
"Saturday, August 13, 1977",Whisky a Go-Go,"West Hollywood, California",,,34.0923014,-118.3692894
"Thursday, September 8, 1977",Paramount Theatre,"Portland, Oregon",,Opening for Be Bop Deluxe,45.5202471,-122.6741949
"Saturday, September 10, 1977",Winterland,"San Francisco, California",,Opening for Be Bop Deluxe,37.7790262,-122.419906
"Sunday, September 11, 1977",Warnors Theatre,"Fresno, California",,Opening for Be Bop Deluxe,36.7295295,-119.70886126075588
"Monday, September 12, 1977",The Catalyst,"Santa Cruz, California",,With the Rubinoos,37.050096,-121.9905908
"Wednesday, September 14, 1977",Santa Monica Civic Auditorium,"Santa Monica, California",,Opening for Be Bop Deluxe,34.0194704,-118.4912273
"Thursday, September 15, 1977",Santa Monica Civic Auditorium,"Santa Monica, California",,Opening for Be Bop Deluxe,34.0194704,-118.4912273
"Friday, September 16, 1977",Celebrity Theatre,"Phoenix, Arizona",,Opening for Be Bop Deluxe,33.4484367,-112.0741417
"Saturday, October 29, 1977",Yakima Valley Community College,"Yakima, Washington",,Opening for the J. Geils Band,46.601557,-120.5108421
"Monday, November 7, 1977",Santa Monica Civic Auditorium,"Santa Monica, California",,Opening for Nektar,34.0194704,-118.4912273
"Monday, November 14, 1977",Agora Ballroom,"Cleveland, Ohio",,Opening for Meat Loaf,41.5051613,-81.6934446
"Tuesday, November 15, 1977",Painesville Agora,"Painesville, Ohio",,Opening for Meat Loaf,41.7244885,-81.245657
"Saturday, November 19, 1977",Bottom Line,"New York City, New York",,With the Dingoes,40.7587979,-73.9623427
"Sunday, November 20, 1977",Bottom Line,"New York City, New York",,With the Dingoes,40.7587979,-73.9623427
"Wednesday, November 23, 1977",Civic Arena,"Pittsburgh, Pennsylvania",,Opening for the J. Geils Band,40.4416941,-79.9900861
"Saturday, November 26, 1977",Tower Theatre,"Philadelphia, Pennsylvania",,Opening for Rush,39.9527237,-75.1635262
"Tuesday, November 29, 1977",My Father's Place,"Roslyn, New York",Setlist,WLIR-FM broadcast,40.7998227,-73.6509621
"Wednesday, November 30, 1977",Palace Theatre,"Albany, New York",,Opening for Edgar Winter,42.6511674,-73.754968
"Friday, December 2, 1977",Riveria Theater,"Chicago, Illinois",Review,With Elvis Costello and the Attractions,41.8755616,-87.6244212
"Monday, April 10, 1978",Del Mar Theater,"Santa Cruz, California",,,37.050096,-121.9905908
"Sunday, May 7, 1978",NBC Studios,"Burbank, California",,taping of Midnight SpecialÂ (broadcast June 2),34.1816482,-118.3258554
"Thursday,, May 11, 1978","Montezuma Hall, San Diego State University","San Diego, California",Review,,32.7174202,-117.1627728
"Saturday, May 13, 1978","Freeborn Hall, University of California Davis","Davis, California",,,38.545379,-121.744583
"Sunday, May 14, 1978",University of California Riverside,"Riverside, California",,,33.9459413,-117.41024442439222
"Monday, May 15, 1978",Civic Auditorium,"Santa Cruz, California",Review,,37.050096,-121.9905908
"Saturday, June 3, 1978",Stanford Memorial Auditorum,"Palo Alto, California",Review,,37.4443293,-122.1598465
"Monday, June 5, 1978",Santa Monica Civic Auditorium,"Santa Monica, California",Review,,34.0194704,-118.4912273
"Friday, June 9, 1978",Chico State Gym,"Chico, California",,,39.7284945,-121.8374777
"Saturday, June 10, 1978",Winterland,"San Francisco, California",,with Earth Quake and David Johansen,37.7790262,-122.419906
"Sunday, June 11, 1978",Veterans Memorial,"Santa Rosa, California",,with Sarah Baker,38.4404925,-122.7141049
"Monday, June 12, 1978",Lane County Fairgrounds,"Eugene, Oregon",,,44.0505054,-123.0950506
"Wednesday, June 14, 1978",Paramount Theatre,"Portland, Oregon",,,45.5202471,-122.6741949
"Thursday, June 15, 1978",Commodore Ballroom,"Vancouver, Canada",,,49.2608724,-123.113952
"Tuesday, June 20, 1978",BBC Studios,"London, England",,Old Grey Whistle Test,51.5073219,-0.1276474
"Saturday, June 24, 1978",Knebworth Festival,"Hertfordshire, England",,,51.840052299999996,-0.09785519224523963
"Tuesday, June 27, 1978",Marquee Club,"London, England",,,51.5073219,-0.1276474
"Thurday, July 6, 1978",Factory,"Jacksonville, Florida",,Opening for the Patti Smith Group,30.3321838,-81.655651
"Friday, July 7, 1978",Curtis Hixon Hall,"Tampa, Florida",ReviewÂ ,Opening for the Patti Smith Group,27.9477595,-82.458444
"Saturday, July 8, 1978",Miami Jai Alai Fronton,"Miami, Florida",,Opening for the Patti Smith Group,25.7741728,-80.19362
"Wednesday, July 12, 1978",Cobo Hall,"Detroit, Michigan",,opening for Journey,42.3315509,-83.046640300000007
"Thursday, July 13, 1978",Music Hall,"Cleveland, Ohio",,with Derringer,41.5051613,-81.6934446
"Friday, July 14, 1978",Palladium,"New York City, New York",Setlist,with Derringer and Carillo,40.7587979,-73.9623427
,,,Review,,NA,NA
"Saturday, June 15, 1978",Paramount Theatre,"Asbury Park, New Jersey",,with U.K.,40.2203907,-74.0120817
"Sunday, July 16, 1978",Paradise Theater,"Boston, Massachusetts",Setlist,King Biscuit Flower Hour broadcast,42.3602534,-71.0582912
,,,Review,,NA,NA
"Monday, July 17, 1978",Warner Theater,"Washington, D.C.",,,38.9074322,-77.0350922
"Tuesday, July 18, 1978",Tower Theater,"Philadelphia, Pennsylvania",,with Mink DeVille,39.9527237,-75.1635262
"Saturday, July 22, 1978",Cape Cod Coliseum,"South Yarmouth, Massachussetts",,opening for the J. Geils Band,NA,NA
"Friday, July 28, 1978",Calderone Concert Hall,"Hempstead, New York",,opening for the J. Geils Band,40.6399646,-73.61385560142261
"Tuesday, August 1, 1978",Civic Center,"Oklahome City, Oklahome",,Opening for the Kinks,NA,NA
"Thursday, August 3, 1978",The Warehouse,"New Orleans, Louisiana",Setlist,Opening for the Kinks,29.9499323,-90.0701156
"Saturday, August 5, 1978",Fox Theater,"Atlanta, Georgia",,Opening for the Kinks with Blondie,33.7489924,-84.3902644
